Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"BT1"	"BAT-SMD_CR1220-2ZX"	"39.6mm"	"55.9mm"	"39.6mm"	"55.9mm"	"39.6mm"	"64.5mm"	"T"	"270"	"CR1220-2ZX"
"C1"	"C0603"	"26.9mm"	"55.95mm"	"26.9mm"	"55.95mm"	"26.2mm"	"55.95mm"	"T"	"0"	"100nF"
"C2"	"C0603"	"10.95mm"	"58.35mm"	"10.95mm"	"58.35mm"	"11.65mm"	"58.35mm"	"T"	"180"	"100nF"
"C4"	"C0603"	"26.9mm"	"58.35mm"	"26.9mm"	"58.35mm"	"26.2mm"	"58.35mm"	"T"	"0"	"100nF"
"C5"	"C0603"	"10.95mm"	"55.95mm"	"10.95mm"	"55.95mm"	"11.65mm"	"55.95mm"	"T"	"180"	"100nF"
"J1"	"HEADER 2.54 1*6P"	"2.3mm"	"55.2mm"	"2.3mm"	"55.2mm"	"2.3mm"	"61.55mm"	"T"	"270"	"HEADER 2.54 1*6P"
"J2"	"HEADER 2.54 1*6P"	"51.83mm"	"55.2mm"	"51.83mm"	"55.2mm"	"51.83mm"	"61.55mm"	"T"	"270"	"HEADER 2.54 1*6P"
"LED1"	"LED1206-RD"	"6.7mm"	"35.3mm"	"6.7mm"	"35.3mm"	"6.7mm"	"36.82mm"	"T"	"270"	"FC-3215HOK-600H"
"LED2"	"LED1206-RD"	"20.43mm"	"35.3mm"	"20.43mm"	"35.3mm"	"20.43mm"	"36.82mm"	"T"	"270"	"FC-3215HOK-600H"
"LED3"	"LED1206-RD"	"34.17mm"	"35.3mm"	"34.17mm"	"35.3mm"	"34.17mm"	"36.82mm"	"T"	"270"	"FC-3215HOK-600H"
"LED4"	"LED1206-RD"	"47.9mm"	"35.3mm"	"47.9mm"	"35.3mm"	"47.9mm"	"36.82mm"	"T"	"270"	"FC-3215HOK-600H"
"R1"	"R0603"	"4.3mm"	"35.3mm"	"4.3mm"	"35.3mm"	"4.3mm"	"36.05mm"	"T"	"270"	"36Ω"
"R2"	"R0603"	"32.1mm"	"43.8mm"	"32.1mm"	"43.8mm"	"31.35mm"	"43.8mm"	"T"	"0"	"10kΩ"
"R3"	"R0603"	"18.03mm"	"35.3mm"	"18.03mm"	"35.3mm"	"18.03mm"	"36.05mm"	"T"	"270"	"36Ω"
"R4"	"R0603"	"31.77mm"	"35.3mm"	"31.77mm"	"35.3mm"	"31.77mm"	"36.05mm"	"T"	"270"	"36Ω"
"R5"	"R0603"	"45.5mm"	"35.3mm"	"45.5mm"	"35.3mm"	"45.5mm"	"36.05mm"	"T"	"270"	"36Ω"
"SW1"	"SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4"	"6.48mm"	"7.24mm"	"6.48mm"	"7.24mm"	"8.33mm"	"10.24mm"	"T"	"270"	"TS-1076S-A7B2"
"SW2"	"SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4"	"20.15mm"	"7.24mm"	"20.15mm"	"7.24mm"	"22mm"	"10.24mm"	"T"	"270"	"TS-1076S-A7B2"
"SW3"	"SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4"	"33.82mm"	"7.24mm"	"33.82mm"	"7.24mm"	"35.67mm"	"10.24mm"	"T"	"270"	"TS-1076S-A7B2"
"SW4"	"SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4"	"47.5mm"	"7.24mm"	"47.5mm"	"7.24mm"	"49.35mm"	"10.24mm"	"T"	"270"	"TS-1076S-A7B2"
"SW5"	"SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4"	"11.3mm"	"43.7mm"	"11.3mm"	"43.7mm"	"8.3mm"	"45.55mm"	"T"	"0"	"TS-1076S-A7B2"
"SW6"	"SW-TH_MSK12C02"	"2.41mm"	"68.96mm"	"2.41mm"	"68.96mm"	"4.11mm"	"71.21mm"	"T"	"270"	"MSK12CO2-SZ"
"U1"	"TQFP32-08"	"18.92mm"	"57.02mm"	"18.92mm"	"57.02mm"	"14.63mm"	"59.82mm"	"T"	"0"	"ATMEGA328"
